Indicador,Nível_Territorial,Abertura_Territorial,Variável_de_abertura,Categoria,Variável_de_abertura_2,Categoria_2,2016,2017,2018
Taxa de analfabetismo (%),Unidade da Federação,Bahia,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,38.2,36,35.3
Taxa de analfabetismo (%),Unidade da Federação,Minas Gerais,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.2,6,5.8
Taxa de analfabetismo (%),Unidade da Federação,Minas Gerais,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,6.6,6.4,6.2
Taxa de analfabetismo (%),Unidade da Federação,Minas Gerais,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,7.6,7.4,7.0
Taxa de analfabetismo (%),Unidade da Federação,Minas Gerais,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,11,10.4,10.0
Taxa de analfabetismo (%),Unidade da Federação,Minas Gerais,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,19.1,19.2,17.1
Taxa de analfabetismo (%),Unidade da Federação,Espírito Santo,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.2,5.5,5.5
Taxa de analfabetismo (%),Unidade da Federação,Espírito Santo,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,6.5,5.8,5.8
Taxa de analfabetismo (%),Unidade da Federação,Espírito Santo,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,7.5,6.7,6.7
Taxa de analfabetismo (%),Unidade da Federação,Espírito Santo,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,11.1,9.9,9.8
Taxa de analfabetismo (%),Unidade da Federação,Espírito Santo,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,21.5,18.5,18.9
Taxa de analfabetismo (%),Unidade da Federação,Rio de Janeiro,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,2.7,2.5,2.4
Taxa de analfabetismo (%),Unidade da Federação,Rio de Janeiro,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,2.8,2.6,2.5
Taxa de analfabetismo (%),Unidade da Federação,Rio de Janeiro,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,3.2,3,2.7
Taxa de analfabetismo (%),Unidade da Federação,Rio de Janeiro,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,4.2,4.1,3.6
Taxa de analfabetismo (%),Unidade da Federação,Rio de Janeiro,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,7.1,6.4,6.3
Taxa de analfabetismo (%),Unidade da Federação,São Paulo,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,2.8,2.6,2.6
Taxa de analfabetismo (%),Unidade da Federação,São Paulo,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,3,2.7,2.8
Taxa de analfabetismo (%),Unidade da Federação,São Paulo,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,3.4,3.1,3.1
Taxa de analfabetismo (%),Unidade da Federação,São Paulo,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,4.8,4.3,4.5
Taxa de analfabetismo (%),Unidade da Federação,São Paulo,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,9.4,7.9,8.3
Taxa de analfabetismo (%),Unidade da Federação,Paraná,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,4.5,4.6,5.0
Taxa de analfabetismo (%),Unidade da Federação,Paraná,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,4.8,4.9,5.2
Taxa de analfabetismo (%),Unidade da Federação,Paraná,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,5.4,5.6,6.0
Taxa de analfabetismo (%),Unidade da Federação,Paraná,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,7.8,8,8.5
Taxa de analfabetismo (%),Unidade da Federação,Paraná,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,15.3,15.5,15.9
Taxa de analfabetismo (%),Unidade da Federação,Santa Catarina,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,2.8,2.6,2.5
Taxa de analfabetismo (%),Unidade da Federação,Santa Catarina,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,3,2.7,2.6
Taxa de analfabetismo (%),Unidade da Federação,Santa Catarina,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,3.4,3.1,2.9
Taxa de analfabetismo (%),Unidade da Federação,Santa Catarina,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,4.7,4.5,4.2
Taxa de analfabetismo (%),Unidade da Federação,Santa Catarina,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,9.1,8.1,8.2
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Sul,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,3.2,3,3.0
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Sul,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,3.4,3.2,3.1
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Sul,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,3.8,3.5,3.5
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Sul,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,5.1,4.8,4.6
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Sul,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,9.2,8.4,8.0
Taxa de analfabetismo (%),Unidade da Federação,Mato Grosso do Sul,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,6.3,5,5.0
